trial,value,seed_scores,seed_weights,decision_support.scoring.move.waypoint_progress_bonus,decision_support.scoring.move.waypoint_delay_penalty,decision_support.scoring.move.unknown_tile_bonus,decision_support.scoring.move.no_figures_left_behind_bonus,decision_support.scoring.move.neighborhood_potential,decision_support.scoring.move.figure_hint_bonus,decision_support.scoring.move.possible_target_bonus,decision_support.scoring.move.neighborhood_weight_any_figure,decision_support.scoring.move.neighborhood_weight_possible_target,decision_support.scoring.move.border_bonus,decision_support.scoring.move.cross_track_penalty_per_step_squared,decision_support.scoring.move.sector_compliance_bonus,decision_support.scoring.move.revisit_penalty,decision_support.scoring.broadcast.base_broadcast_value,decision_support.scoring.broadcast.first_turn_coordination_bonus,decision_support.scoring.broadcast.last_turn_coordination_bonus,decision_support.scoring.wait.base_wait_value
0,0.59077,1:0.61905; 2:0.62295; 3:0.53030,,0.85,-1.75,0.0,0.9,0.07,0.15,0.45,0.7,0.8,1.1,-2.35,1.4,-2.4,-0.2,0.15,8.05,-1.75
1,0.53803,1:0.44444; 2:0.63934; 3:0.53030,,1.1,-5.2,0.6,2.4,0.49,0.6,1.75,1.75,1.8,0.15,-3.85,0.3,-0.35,-1.8,2.5,11.5,-1.4
2,0.60084,1:0.50794; 2:0.68852; 3:0.60606,,1.4,-4.15,2.05,2.5,0.0,1.5,2.5,1.5,0.55,1.6,-3.6,0.9,-0.25,-1.4,1.7,1.55,-2.95
3,0.63650,1:0.55556; 2:0.67213; 3:0.68182,,1.35,-4.75,0.8,1.45,0.02,1.15,0.35,1.2,1.4,0.2,-2.35,1.4,-1.75,-1.9,3.2,7.95,-1.45
4,0.69217,1:0.65079; 2:0.81967; 3:0.60606,,1.9,-2.55,2.75,0.4,0.07,1.65,1.0,0.3,1.9,0.7,-1.0,1.45,-0.35,-0.75,4.5,4.2,-2.2
5,0.64702,1:0.55556; 2:0.68852; 3:0.69697,,1.8,-3.5,2.9,2.0,0.31,0.2,2.4,0.9,1.15,0.8,-3.05,1.85,-1.3,-2.0,3.7,3.9,-1.4
6,0.80175,1:0.74603; 2:0.90164; 3:0.75758,,1.8,-3.9,2.75,1.9,0.0,1.9,1.75,2.0,0.35,0.25,-0.25,1.4,-2.8,-0.5,4.55,11.1,-0.85
7,0.73119,1:0.77778; 2:0.68852; 3:0.72727,,0.25,-5.9,0.05,0.05,0.12,1.75,1.35,1.1,1.7,0.25,-2.9,1.2,-0.05,-0.85,0.1,9.6,-2.3
9,0.77587,1:0.84127; 2:0.81967; 3:0.66667,,0.4,-4.5,2.25,0.55,0.29,1.95,2.15,0.45,1.0,1.25,-0.65,0.3,-2.95,-1.9,2.9,7.3,-1.3
10,0.89423,1:0.90476; 2:0.86885; 3:0.90909,,0.65,-0.4,1.6,3.0,0.17,1.1,1.65,2.0,0.0,2.0,0.0,1.85,-2.8,0.0,5.45,0.6,-0.25
11,0.88475,1:1.00000; 2:0.83607; 3:0.81818,,0.7,-0.1,1.5,2.95,0.17,1.1,1.65,1.95,0.0,2.0,0.0,2.0,-3.0,0.0,5.95,0.55,-0.2
12,0.75771,1:0.88889; 2:0.67213; 3:0.71212,,0.6,-0.15,1.6,3.0,0.18,1.0,1.2,1.95,0.0,2.0,-1.4,2.0,-2.15,-0.05,5.95,0.05,-0.05
13,0.96261,1:0.92063; 2:0.96721; 3:1.00000,,0.05,-0.15,1.4,3.0,0.19,1.1,1.7,1.45,0.45,1.95,0.0,1.8,-2.55,-0.4,6.0,2.3,-0.1
