trial,value,seed_scores,seed_weights,decision_support.scoring.move.waypoint_progress_bonus,decision_support.scoring.move.waypoint_delay_penalty,decision_support.scoring.move.unknown_tile_bonus,decision_support.scoring.move.no_figures_left_behind_bonus,decision_support.scoring.move.neighborhood_potential,decision_support.scoring.move.figure_hint_bonus,decision_support.scoring.move.possible_target_bonus,decision_support.scoring.move.neighborhood_weight_any_figure,decision_support.scoring.move.neighborhood_weight_possible_target,decision_support.scoring.move.border_bonus,decision_support.scoring.move.cross_track_penalty_per_step_squared,decision_support.scoring.move.sector_compliance_bonus,decision_support.scoring.move.revisit_penalty,decision_support.scoring.broadcast.base_broadcast_value,decision_support.scoring.broadcast.first_turn_coordination_bonus,decision_support.scoring.broadcast.last_turn_coordination_bonus,decision_support.scoring.wait.base_wait_value
0,0.92063,1:0.92063,,0.05,-0.15,1.4,3.0,0.19,1.1,1.7,1.45,0.45,1.95,0.0,1.8,-2.55,-0.4,6.0,2.3,-0.1
1,0.61905,1:0.61905,,0.85,-1.75,0.0,0.9,0.07,0.15,0.45,0.7,0.8,1.1,-2.35,1.4,-2.4,-0.2,0.15,8.05,-1.75
2,0.44444,1:0.44444,,1.1,-5.2,0.6,2.4,0.49,0.6,1.75,1.75,1.8,0.15,-3.85,0.3,-0.35,-1.8,2.5,11.5,-1.4
3,0.50794,1:0.50794,,1.4,-4.15,2.05,2.5,0.0,1.5,2.5,1.5,0.55,1.6,-3.6,0.9,-0.25,-1.4,1.7,1.55,-2.95
4,0.55556,1:0.55556,,1.35,-4.75,0.8,1.45,0.02,1.15,0.35,1.2,1.4,0.2,-2.35,1.4,-1.75,-1.9,3.2,7.95,-1.45
5,0.65079,1:0.65079,,1.9,-2.55,2.75,0.4,0.07,1.65,1.0,0.3,1.9,0.7,-1.0,1.45,-0.35,-0.75,4.5,4.2,-2.2
6,0.55556,1:0.55556,,1.8,-3.5,2.9,2.0,0.31,0.2,2.4,0.9,1.15,0.8,-3.05,1.85,-1.3,-2.0,3.7,3.9,-1.4
7,0.74603,1:0.74603,,1.8,-3.9,2.75,1.9,0.0,1.9,1.75,2.0,0.35,0.25,-0.25,1.4,-2.8,-0.5,4.55,11.1,-0.85
8,0.77778,1:0.77778,,0.25,-5.9,0.05,0.05,0.12,1.75,1.35,1.1,1.7,0.25,-2.9,1.2,-0.05,-0.85,0.1,9.6,-2.3
9,0.53968,1:0.53968,,1.65,-3.7,2.6,2.25,0.28,0.25,0.15,0.2,0.05,0.2,-3.1,1.45,-1.3,-2.0,0.4,11.65,-1.3
