run_id,timestamp,commit_sha,config_hash,model,seed,rounds,broadcasts,coverage,correct_edges,false_edges,total_gt_edges,mission_score,norm_score,runtime_s,logfile
20251109-200355-111-5745d1,2025-11-09T20:03:55.775389,79158238a610e39334818ac86592c2692730fde0,42605523a3,deepseek-r1:32b,111,32,1,0.5938,38,0,57,38,0.66667,918.34,logs\simulation.log
20251109-201753-222-32088e,2025-11-09T20:17:53.794723,79158238a610e39334818ac86592c2692730fde0,3170ce44c8,deepseek-r1:32b,222,32,1,0.6094,52,0,66,52,0.78788,838.0,logs\simulation.log
20251109-203337-333-5ad8cd,2025-11-09T20:33:37.223494,79158238a610e39334818ac86592c2692730fde0,69592aac3b,deepseek-r1:32b,333,32,13,0.4219,28,0,55,28,0.50909,943.41,logs\simulation.log
20251109-211914-111-d8f10c,2025-11-09T21:19:14.005883,79158238a610e39334818ac86592c2692730fde0,6f6dc023f4,qwen3:30b,111,32,9,0.4531,28,0,57,28,0.49123,1707.85,logs\simulation_2025-11-09.log
20251109-215141-222-b37d1a,2025-11-09T21:51:41.385771,79158238a610e39334818ac86592c2692730fde0,4ba1e48d69,qwen3:30b,222,32,7,0.4844,36,0,66,36,0.54545,1947.36,logs\simulation_2025-11-09.log
20251109-222121-333-9d336b,2025-11-09T22:21:21.452241,79158238a610e39334818ac86592c2692730fde0,f1db06585b,qwen3:30b,333,32,4,0.4688,34,0,55,34,0.61818,1780.04,logs\simulation_2025-11-09.log
20251109-223121-111-5b12af,2025-11-09T22:31:21.559648,79158238a610e39334818ac86592c2692730fde0,625018bbc0,deepseek-r1:14b,111,32,3,0.375,32,0,57,32,0.5614,569.39,logs\simulation_2025-11-09.log
20251109-224018-222-ada9ef,2025-11-09T22:40:18.679983,79158238a610e39334818ac86592c2692730fde0,3c4a642572,deepseek-r1:14b,222,32,6,0.3906,39,0,66,39,0.59091,537.1,logs\simulation_2025-11-09.log
20251109-224954-333-e1a59f,2025-11-09T22:49:54.416299,79158238a610e39334818ac86592c2692730fde0,71d25c3c2a,deepseek-r1:14b,333,32,4,0.4688,29,0,55,29,0.52727,575.71,logs\simulation_2025-11-09.log
20251109-194546-111-f108ec,2025-11-09T19:45:46.036712,79158238a610e39334818ac86592c2692730fde0,371d824c91,llama3.1:8b,111,32,0,0.5156,31,0,57,31,0.54386,82.92,logs\simulation.log
20251109-194656-222-1d00bb,2025-11-09T19:46:56.680680,79158238a610e39334818ac86592c2692730fde0,9471a4174c,llama3.1:8b,222,32,3,0.4844,50,0,66,50,0.75758,70.62,logs\simulation.log
20251109-194809-333-4d57ff,2025-11-09T19:48:09.719214,79158238a610e39334818ac86592c2692730fde0,fe74e6ce98,llama3.1:8b,333,32,1,0.25,26,0,55,26,0.47273,73.02,logs\simulation.log
20251114-215605-0-8adbec, 2025-11-14T21:56:05.272716,79158238a610e39334818ac86592c2692730fde0,2208330c36,llama3.1:8b,0 ,32,0,0.4062,30,0,59,30,0.50847,93.48,logs\simulation_2025-11-14.log
20251114-215708-1-3292b3, 2025-11-14T21:57:08.061447,79158238a610e39334818ac86592c2692730fde0,85ecac45e1,llama3.1:8b,1 ,32,0,0.2344,31,0,63,31,0.49206,62.77,logs\simulation_2025-11-14.log
20251114-215855-2-0be505, 2025-11-14T21:58:55.820530,79158238a610e39334818ac86592c2692730fde0,4d6aa6f65e,llama3.1:8b,2 ,32,1,0.5156,42,0,61,42,0.68852,107.74,logs\simulation_2025-11-14.log
20251114-220012-3-b17079, 2025-11-14T22:00:12.700284,79158238a610e39334818ac86592c2692730fde0,07d55aa676,llama3.1:8b,3 ,32,1,0.4062,43,0,66,43,0.65152,76.86,logs\simulation_2025-11-14.log
20251114-220119-4-278cad, 2025-11-14T22:01:19.611622,79158238a610e39334818ac86592c2692730fde0,4c7aa3bdf7,llama3.1:8b,4 ,32,0,0.3281,24,0,53,24,0.45283,66.89,logs\simulation_2025-11-14.log
20251114-220241-5-1dfc3a, 2025-11-14T22:02:41.861834,79158238a610e39334818ac86592c2692730fde0,c37d115cf3,llama3.1:8b,5 ,32,0,0.4688,36,0,68,36,0.52941,82.22,logs\simulation_2025-11-14.log
20251114-220355-6-0448eb, 2025-11-14T22:03:55.741271,79158238a610e39334818ac86592c2692730fde0,be78ab821a,llama3.1:8b,6 ,32,5,0.3125,17,0,56,17,0.30357,73.85,logs\simulation_2025-11-14.log
20251114-220608-7-2e293a, 2025-11-14T22:06:08.652991,79158238a610e39334818ac86592c2692730fde0,694ca15136,llama3.1:8b,7 ,32,0,0.6094,58,0,66,58,0.87879,132.89,logs\simulation_2025-11-14.log
20251114-220718-8-1be917, 2025-11-14T22:07:18.410976,79158238a610e39334818ac86592c2692730fde0,7b6ad18bad,llama3.1:8b,8 ,32,3,0.375,29,0,69,29,0.42029,69.73,logs\simulation_2025-11-14.log
20251114-220826-9-4eb546, 2025-11-14T22:08:26.792623,79158238a610e39334818ac86592c2692730fde0,08c35d2393,llama3.1:8b,9 ,32,1,0.5938,48,0,68,48,0.70588,68.36,logs\simulation_2025-11-14.log
20251114-220942-10-5e2562,2025-11-14T22:09:42.811810,79158238a610e39334818ac86592c2692730fde0,072dbc535b,llama3.1:8b,10,32,2,0.4531,48,0,66,48,0.72727,76.0,logs\simulation_2025-11-14.log
20251114-221054-11-759334,2025-11-14T22:10:54.940352,79158238a610e39334818ac86592c2692730fde0,6b2e9d054f,llama3.1:8b,11,32,0,0.3906,27,0,60,27,0.45,72.11,logs\simulation_2025-11-14.log
20251114-221208-12-cc0a41,2025-11-14T22:12:08.080371,79158238a610e39334818ac86592c2692730fde0,b24484857c,llama3.1:8b,12,32,1,0.3125,21,0,59,21,0.35593,73.12,logs\simulation_2025-11-14.log
20251114-221326-13-077fe4,2025-11-14T22:13:26.961954,79158238a610e39334818ac86592c2692730fde0,2ea2bc875f,llama3.1:8b,13,32,1,0.2031,27,0,66,27,0.40909,78.86,logs\simulation_2025-11-14.log
20251114-221439-14-e25c96,2025-11-14T22:14:39.180685,79158238a610e39334818ac86592c2692730fde0,fa6fd44a58,llama3.1:8b,14,32,1,0.3125,18,0,58,18,0.31034,72.2,logs\simulation_2025-11-14.log
20251114-221552-15-6e4a4b,2025-11-14T22:15:51.991825,79158238a610e39334818ac86592c2692730fde0,2cd9646607,llama3.1:8b,15,32,0,0.3594,22,0,57,22,0.38596,72.79,logs\simulation_2025-11-14.log
20251114-221703-16-e24a5a,2025-11-14T22:17:03.350994,79158238a610e39334818ac86592c2692730fde0,ad9d557adf,llama3.1:8b,16,32,2,0.4062,25,0,58,25,0.43103,71.34,logs\simulation_2025-11-14.log
20251114-221834-17-63a314,2025-11-14T22:18:34.631829,79158238a610e39334818ac86592c2692730fde0,4c080f64bb,llama3.1:8b,17,32,1,0.4219,18,0,58,18,0.31034,91.26,logs\simulation_2025-11-14.log
20251114-222018-18-fa1038,2025-11-14T22:20:18.881496,79158238a610e39334818ac86592c2692730fde0,148c60411c,llama3.1:8b,18,32,1,0.4688,35,0,52,35,0.67308,104.23,logs\simulation_2025-11-14.log
20251114-222150-19-5a4e58,2025-11-14T22:21:50.562195,79158238a610e39334818ac86592c2692730fde0,319a71204e,llama3.1:8b,19,32,0,0.4219,33,0,57,33,0.57895,91.66,logs\simulation_2025-11-14.log
20251114-222311-20-ebfcb5,2025-11-14T22:23:11.780991,79158238a610e39334818ac86592c2692730fde0,b00ed4329d,llama3.1:8b,20,32,3,0.3438,26,0,62,26,0.41935,81.2,logs\simulation_2025-11-14.log
20251114-222420-21-9fc9c4,2025-11-14T22:24:20.370884,79158238a610e39334818ac86592c2692730fde0,d43af06886,llama3.1:8b,21,32,0,0.3281,24,0,60,24,0.4,68.57,logs\simulation_2025-11-14.log
20251114-222534-22-a47852,2025-11-14T22:25:34.191745,79158238a610e39334818ac86592c2692730fde0,9d7a80583d,llama3.1:8b,22,32,1,0.4688,25,0,50,25,0.5,73.8,logs\simulation_2025-11-14.log
20251114-222650-23-9e74a9,2025-11-14T22:26:50.674485,79158238a610e39334818ac86592c2692730fde0,3124903cae,llama3.1:8b,23,32,1,0.4062,30,0,63,30,0.47619,76.47,logs\simulation_2025-11-14.log
20251114-222837-24-b3ae6e,2025-11-14T22:28:37.550284,79158238a610e39334818ac86592c2692730fde0,238ed3b416,llama3.1:8b,24,32,1,0.4219,28,0,62,28,0.45161,106.84,logs\simulation_2025-11-14.log
20251114-222944-25-12bff8,2025-11-14T22:29:44.551602,79158238a610e39334818ac86592c2692730fde0,c376395c23,llama3.1:8b,25,32,2,0.4219,26,0,65,26,0.4,66.98,logs\simulation_2025-11-14.log
20251114-223102-26-3a8734,2025-11-14T22:31:02.160894,79158238a610e39334818ac86592c2692730fde0,4f9f2613fd,llama3.1:8b,26,32,7,0.4531,39,0,55,39,0.70909,77.58,logs\simulation_2025-11-14.log
20251114-223216-27-83b0e0,2025-11-14T22:32:16.251967,79158238a610e39334818ac86592c2692730fde0,eeb5758d16,llama3.1:8b,27,32,0,0.3438,24,0,60,24,0.4,74.06,logs\simulation_2025-11-14.log
20251114-223406-28-72fd45,2025-11-14T22:34:06.311668,79158238a610e39334818ac86592c2692730fde0,6345c493ce,llama3.1:8b,28,32,0,0.6094,42,0,62,42,0.67742,110.03,logs\simulation_2025-11-14.log
20251114-223535-29-55d1ba,2025-11-14T22:35:35.821501,79158238a610e39334818ac86592c2692730fde0,813860c5d4,llama3.1:8b,29,32,1,0.5312,35,0,56,35,0.625,89.49,logs\simulation_2025-11-14.log
20251114-223658-30-c869d0,2025-11-14T22:36:58.232270,79158238a610e39334818ac86592c2692730fde0,06a9ffd8a9,llama3.1:8b,30,32,0,0.5,35,0,58,35,0.60345,82.39,logs\simulation_2025-11-14.log
20251114-223813-31-d55f25,2025-11-14T22:38:13.610412,79158238a610e39334818ac86592c2692730fde0,da703136bd,llama3.1:8b,31,32,2,0.375,32,0,71,32,0.4507,75.35,logs\simulation_2025-11-14.log
20251114-223940-32-7f690f,2025-11-14T22:39:40.520444,79158238a610e39334818ac86592c2692730fde0,3d0e4b91a2,llama3.1:8b,32,32,0,0.5156,49,0,66,49,0.74242,86.89,logs\simulation_2025-11-14.log
20251114-224148-33-d1557f,2025-11-14T22:41:48.530603,79158238a610e39334818ac86592c2692730fde0,3cd3eda0ab,llama3.1:8b,33,32,2,0.4062,37,0,60,37,0.61667,127.98,logs\simulation_2025-11-14.log
20251114-224301-34-def979,2025-11-14T22:43:01.741454,79158238a610e39334818ac86592c2692730fde0,b7368d2783,llama3.1:8b,34,32,1,0.3125,26,0,65,26,0.4,73.19,logs\simulation_2025-11-14.log
20251114-224425-35-746674,2025-11-14T22:44:25.741487,79158238a610e39334818ac86592c2692730fde0,5e13996d00,llama3.1:8b,35,32,1,0.3906,44,0,66,44,0.66667,83.98,logs\simulation_2025-11-14.log
20251114-224546-36-493b31,2025-11-14T22:45:46.770696,79158238a610e39334818ac86592c2692730fde0,dd81564c74,llama3.1:8b,36,32,1,0.2969,25,0,72,25,0.34722,81.01,logs\simulation_2025-11-14.log
20251114-224700-37-52fdb2,2025-11-14T22:47:00.981593,79158238a610e39334818ac86592c2692730fde0,0250cb2ddc,llama3.1:8b,37,32,2,0.375,35,0,65,35,0.53846,74.19,logs\simulation_2025-11-14.log
20251114-224833-38-ea2119,2025-11-14T22:48:33.180643,79158238a610e39334818ac86592c2692730fde0,c02520ee44,llama3.1:8b,38,32,1,0.375,24,0,68,24,0.35294,92.18,logs\simulation_2025-11-14.log
20251114-225049-39-54119d,2025-11-14T22:50:49.901734,79158238a610e39334818ac86592c2692730fde0,6f0a90e16d,llama3.1:8b,39,32,2,0.4688,23,0,60,23,0.38333,136.7,logs\simulation_2025-11-14.log
